stagger	oszołomienie
stun	ogłuszenie
subjugate	ujarzmienie
alien	obcy
quest	zadanie
drop	upuszczać
Taunt	Prowokacja
machine lifeform	mechaniczna forma życia
Plug-in Chip	czip rozszerzeń
access point	punkt dostępu
Stubby	Resorak
Forest King	Król Lasu
Upgrade	Ulepsz
sub-quest	zadanie poboczne
Scanner	skaner	(l.mn. skanery)
Anemone	Anemona
Negative	Zaprzeczam
self-destruct	autodestrukcja
Human Server	Serwer Ludzi
commercial facility	obiekt komercyjny
system menu	menu systemowe
auto-control chips	czip autosterowania
Query:	Pytanie:
